"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30643","should get product images count","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","19334","should get cart item count independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","13341","should navigate to cart page independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","13278","should sort search results independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","31365","should view product details","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","20383","should sort search results","chromium","2026-06-11","passed","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","30694","should verify cart displays correct total","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","10118","should search for a product and add it to cart","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow","HomePage.spec.ts","",""
"","18896","should add product to cart independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","17217","should verify product availability independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","12559","should verify search results contain keyword independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","9442","should navigate to Amazon homepage successfully","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow","HomePage.spec.ts","",""
"","16129","should navigate to Amazon homepage successfully","chromium","2026-07-03","failed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","8868","should search for a product and display results","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow","HomePage.spec.ts","",""
"","13479","should view product details independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","19987","should search with multiple keywords","chromium","2026-06-11","passed","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","31183","should add product to cart and verify","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","30708","should update product quantity in cart","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","12659","should handle empty cart independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","30743","should verify product availability","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","30995","should remove item from cart","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","32258","should filter products by price range","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","14727","should get product price independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","19087","should search and verify page title independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","10648","should navigate to cart page when cart icon is clicked","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow","HomePage.spec.ts","",""
"","15487","should filter products by price range independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","17285","should search for a product and display results","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","9795","should search with multiple keywords independently","chromium","2026-07-03","passed","2026-07-03","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
"","30516","should proceed to checkout","chromium","2026-06-11","broken","2026-06-11","Amazon Product Flow - Enhanced","EnhancedProductFlow.spec.ts","",""
